state,year,housing_cost_weighted,annual_market_rent,owner_costs,homeownership_rate,rental_rate
Nevada,2021,21334.47,15732,25211.651033357477,59.1,40.9
Nevada,2022,23814.76,17532,27951.17793134469,60.3,39.7
Nevada,2023,25795.5,19464,29946.622142857144,60.4,39.6
New Hampshire,2008,19191.92,10968,22342.713908525267,72.3,27.7
New Hampshire,2009,19986.47,11016,23389.0584682423,72.5,27.5
New Hampshire,2010,19883.83,11412,23227.667469721975,71.7,28.3
New Hampshire,2011,19504.94,11268,22788.199163460304,71.5,28.5
New Hampshire,2012,20084.2,11604,23564.79463390752,70.9,29.1
New Hampshire,2013,20781.15,11940,24534.2284622364,70.2,29.8
New Hampshire,2014,19889.87,11928,23269.693389532833,70.2,29.8
New Hampshire,2015,21153.72,12204,24827.013082602265,70.9,29.1
New Hampshire,2016,20297.75,12312,23703.9392968653,70.1,29.9
New Hampshire,2017,22177.1,12864,26206.555684933162,69.8,30.2
New Hampshire,2018,20883.48,13080,24024.571897226633,71.3,28.7
New Hampshire,2019,21866.37,13764,25175.788571584366,71.0,29.0
New Hampshire,2021,22441.7,15156,25205.234644007003,72.5,27.5
New Hampshire,2022,27325.96,16752,31377.123377608266,72.3,27.7
New Hampshire,2023,27411.67,18204,30921.78214285714,72.4,27.6
New Jersey,2008,23996.84,12816,29503.81591522405,67.0,33.0
New Jersey,2009,23320.54,13296,28461.7232948805,66.1,33.9
New Jersey,2010,23469.7,13368,28581.39953561223,66.4,33.6
New Jersey,2011,22877.02,13620,27861.563308859404,65.0,35.0
New Jersey,2012,23826.72,13776,29214.8969457473,65.1,34.9
New Jersey,2013,23851.14,14052,29363.16190252291,64.0,36.0
New Jersey,2014,24363.39,14424,30126.04324315006,63.3,36.7
New Jersey,2015,24447.11,14568,30249.121569211005,63.0,37.0
New Jersey,2016,25143.97,14928,31092.513246617706,63.2,36.8
New Jersey,2017,25136.18,15408,30655.930316619582,63.8,36.2
New Jersey,2018,26058.71,16032,31698.729246832245,64.0,36.0
New Jersey,2019,26655.22,16512,32536.045571739418,63.3,36.7
New Jersey,2021,27130.7,17484,32463.348829200433,64.4,35.6
New Jersey,2022,29262.87,18660,35073.10533303619,64.6,35.4
New Jersey,2023,30660.91,20004,36733.83785714286,63.7,36.3
New Mexico,2008,12893.32,8016,15064.14850378034,69.2,30.8
New Mexico,2009,12704.23,8160,14717.329426858247,69.3,30.7
New Mexico,2010,12346.48,8388,14217.862392308889,67.9,32.1
New Mexico,2011,13389.13,8748,15553.171215122315,68.2,31.8
New Mexico,2012,13379.62,9036,15451.9758224074,67.7,32.3
New Mexico,2013,13522.39,9264,15535.553931021752,67.9,32.1
New Mexico,2014,13640.2,9324,15775.724128854974,66.9,33.1
New Mexico,2015,13703.55,9396,15777.549108304249,67.5,32.5
New Mexico,2016,14126.52,9648,16292.685356081302,67.4,32.6
New Mexico,2017,14310.38,9756,16463.476693100656,67.9,32.1
New Mexico,2018,14109.2,9960,16227.666871181824,66.2,33.8
New Mexico,2019,14425.24,10164,16421.329788296232,68.1,31.9
New Mexico,2021,15093.32,10872,16945.840518117697,69.5,30.5
New Mexico,2022,16884.89,11460,19111.465867539442,70.9,29.1
New Mexico,2023,17752.02,13008,19853.622857142855,69.3,30.7
New York,2008,18919.23,11436,24968.061049507665,55.3,44.7
New York,2009,19286.18,11808,25404.686974943317,55.0,45.0
New York,2010,19500.58,12240,25611.227565831126,54.3,45.7
New York,2011,19969.01,12696,26265.04548940727,53.6,46.4
New York,2012,20207.73,12948,26467.053327197802,53.7,46.3
New York,2013,20614.39,13308,26913.9435539889,53.7,46.3
New York,2014,21057.44,13776,27514.572165565944,53.0,47.0
New York,2015,21316.31,14076,27711.236853016344,53.1,46.9
New York,2016,21769.41,14328,28289.360717920303,53.3,46.7
New York,2017,22083.37,14712,28413.43766395484,53.8,46.2
New York,2018,22600.71,15288,28905.714904402477,53.7,46.3
New York,2019,23118.7,15708,29559.780323267438,53.5,46.5
New York,2021,25103.14,16908,31700.666559468646,55.4,44.6
New York,2022,25502.18,17988,31877.43330444718,54.1,45.9
New York,2023,26539.28,18732,33163.205,54.1,45.9
North Carolina,2008,11774.07,8328,13380.891531538513,68.2,31.8
North Carolina,2009,11930.34,8640,13536.334744462793,67.2,32.8
North Carolina,2010,11911.89,8772,13444.449530940617,67.2,32.8
North Carolina,2011,12184.95,8940,13819.625084669604,66.5,33.5
North Carolina,2012,12242.58,9072,13919.979457208408,65.4,34.6
North Carolina,2013,12477.33,9336,14221.421020834809,64.3,35.7
North Carolina,2014,12858.77,9636,14655.896917183562,64.2,35.8
North Carolina,2015,13026.37,9924,14779.043281175796,63.9,36.1
North Carolina,2016,13174.51,10068,14906.79458572076,64.2,35.8
North Carolina,2017,13767.2,10332,15584.60623358972,65.4,34.6
North Carolina,2018,14124.44,10800,15906.670957639537,65.1,34.9
North Carolina,2019,14571.9,11172,16378.580229524934,65.3,34.7
North Carolina,2021,15602.02,12312,17229.818228197706,66.9,33.1
North Carolina,2022,17316.88,13572,19186.512461356302,66.7,33.3
North Carolina,2023,18897.12,14940,20908.500714285714,66.3,33.7
North Dakota,2008,9910.48,6408,11666.97157521449,66.6,33.4
North Dakota,2009,10115.94,6768,11840.63830604657,66.0,34.0
North Dakota,2010,9754.25,6996,11118.939756895299,66.9,33.1
North Dakota,2011,10960.71,7512,12761.174719672888,65.7,34.3
North Dakota,2012,12281.32,7728,14733.112093798267,65.0,35.0
North Dakota,2013,13062.72,8280,15660.740108973907,64.8,35.2
North Dakota,2014,13087.45,8736,15556.447300003494,63.8,36.2
North Dakota,2015,13203.77,9300,15627.01859326135,61.7,38.3
North Dakota,2016,14907.06,9312,18164.939997718855,63.2,36.8
North Dakota,2017,12913.94,9420,14930.944723923405,63.4,36.6
North Dakota,2018,13327.02,9696,15505.631317600824,62.5,37.5
North Dakota,2019,14442.59,9648,17469.524592303533,61.3,38.7
North Dakota,2021,14222.91,10068,16652.636607691482,63.1,36.9
North Dakota,2022,14311.48,10356,16432.00457088311,65.1,34.9
North Dakota,2023,15917.24,10992,18723.92785714286,63.7,36.3
Ohio,2008,12259.9,8004,14171.971501802978,69.0,31.0
Ohio,2009,12086.47,8040,13990.686718924224,68.0,32.0
Ohio,2010,12095.98,8220,13886.630453871103,68.4,31.6
Ohio,2011,12064.83,8304,13917.174931745873,67.0,33.0
Ohio,2012,12332.65,8400,14331.598651307782,66.3,33.7
Ohio,2013,12775.4,8508,14963.971870927875,66.1,33.9
Ohio,2014,12723.25,8820,14797.412666496612,65.3,34.7
Ohio,2015,13004.93,8952,15149.140825272301,65.4,34.6
Ohio,2016,13246.43,9108,15435.877316426606,65.4,34.6
Ohio,2017,13631.68,9264,15901.814203101614,65.8,34.2
Ohio,2018,13901.47,9564,16145.90026379115,65.9,34.1
Ohio,2019,14162.54,9756,16432.57265052156,66.0,34.0
Ohio,2021,14903.1,10440,17081.513574232868,67.2,32.8
Ohio,2022,15985.66,11388,18219.58637375802,67.3,32.7
Ohio,2023,16844.79,12168,19137.885714285712,67.1,32.9
Oklahoma,2008,9788.89,7368,10970.509304894475,67.2,32.8
Oklahoma,2009,10198.44,7632,11451.112677876117,67.2,32.8
Oklahoma,2010,10411.05,7908,11599.812101775762,67.8,32.2
Oklahoma,2011,10579.36,8100,11800.533838189851,67.0,33.0
Oklahoma,2012,10725.11,8232,11986.678894429588,66.4,33.6
Oklahoma,2013,11111.41,8460,12507.95781695199,65.5,34.5
Oklahoma,2014,11486.09,8844,12902.51183192647,65.1,34.9
Oklahoma,2015,11500.69,9108,12772.154808732072,65.3,34.7
Oklahoma,2016,11691.9,8928,13186.711676349592,64.9,35.1
Oklahoma,2017,12070.94,9360,13498.8397024736,65.5,34.5
Oklahoma,2018,12397.38,9696,13826.546308973755,65.4,34.6
Oklahoma,2019,12411.57,9768,13803.988463453756,65.5,34.5
Oklahoma,2021,13056.81,10260,14529.943770778842,65.5,34.5
Oklahoma,2022,13851.44,11244,15230.905379769305,65.4,34.6
Oklahoma,2023,15154.32,12240,16716.68928571428,65.1,34.9
Oregon,2008,15209.19,9360,18456.712173694024,64.3,35.7
Oregon,2009,15635.5,9828,19031.648345515543,63.1,36.9
Oregon,2010,15504.42,9792,18931.872370301346,62.5,37.5
Oregon,2011,15435.15,10080,18887.815465417356,60.8,39.2
Oregon,2012,16193.93,10344,19840.63748991705,61.6,38.4
Oregon,2013,16229.89,10644,19831.32121980545,60.8,39.2
Oregon,2014,16862.07,11088,20600.478514163162,60.7,39.3
Oregon,2015,17613.92,11316,21623.56878250507,61.1,38.9
Oregon,2016,18359.07,12180,22194.706356236722,61.7,38.3
Oregon,2017,19681.3,12948,23669.808362787528,62.8,37.2
Oregon,2018,20383.14,13560,24477.017476005058,62.5,37.5
Oregon,2019,20897.36,14220,24835.82937489784,62.9,37.1
Oregon,2021,22008.87,15384,25767.80890015326,63.8,36.2
Oregon,2022,23694.21,16440,27991.297303140767,62.8,37.2
Oregon,2023,25015.03,17772,29196.342857142863,63.4,36.6
Pennsylvania,2008,13893.08,8712,16029.915358077253,70.8,29.2
Pennsylvania,2009,13959.64,8856,16095.20668648348,70.5,29.5
Pennsylvania,2010,14140.84,9156,16267.034907208263,70.1,29.9
Pennsylvania,2011,14312.91,9432,16454.89167788299,69.5,30.5
Pennsylvania,2012,14419.33,9576,16605.50525635448,68.9,31.1
Pennsylvania,2013,14860.35,9936,17083.10130358491,68.9,31.1
Pennsylvania,2014,15191.51,10176,17465.988099162572,68.8,31.2
Pennsylvania,2015,15541.45,10416,17876.624292560315,68.7,31.3
Pennsylvania,2016,15722.64,10572,18091.180003082423,68.5,31.5
Pennsylvania,2017,16167.76,10716,18698.073672645853,68.3,31.7
Pennsylvania,2018,16627.39,11124,19146.440520738128,68.6,31.4
Pennsylvania,2019,16860.13,11412,19377.09772691175,68.4,31.6
Pennsylvania,2021,17965.91,12432,20348.90031784288,69.9,30.1
Pennsylvania,2022,19112.1,13392,21670.007723850715,69.1,30.9
Pennsylvania,2023,20246.31,14364,22827.750714285714,69.5,30.5
Rhode Island,2008,17850.29,10200,22460.07832485847,62.4,37.6
Rhode Island,2009,18105.67,10680,22392.40643078992,63.4,36.6
Rhode Island,2010,17442.32,10416,21972.451823544066,60.8,39.2
Rhode Island,2011,17563.53,10500,22155.994945495004,60.6,39.4
Rhode Island,2012,16715.38,10536,20834.966848196393,60.0,40.0
Rhode Island,2013,17277.48,11016,21382.687095344318,60.4,39.6
Rhode Island,2014,18261.76,11208,23204.196525752173,58.8,41.2
Rhode Island,2015,18536.25,11256,23595.408381879955,59.0,41.0
Rhode Island,2016,18088.27,11376,22948.879026405848,58.0,42.0
Rhode Island,2017,18684.58,11292,23450.855430281077,60.8,39.2
Rhode Island,2018,19971.82,11976,24914.212936334003,61.8,38.2
Rhode Island,2019,20304.2,12516,25138.697337207122,61.7,38.3
Rhode Island,2021,21763.52,13704,26436.265514651368,63.3,36.7
Rhode Island,2022,22375.21,15048,26623.36338456528,63.3,36.7
Rhode Island,2023,23534.99,16380,27559.678571428576,64.0,36.0
South Carolina,2008,11612.93,8100,13075.816002566333,70.6,29.4
South Carolina,2009,11967.56,8472,13458.538272074467,70.1,29.9
South Carolina,2010,11862.31,8736,13286.673212004574,68.7,31.3
South Carolina,2011,12144.32,8892,13591.883199468508,69.2,30.8
South Carolina,2012,12361.62,9048,13913.813947944778,68.1,31.9
South Carolina,2013,12395.0,9192,13888.484224616483,68.2,31.8
South Carolina,2014,12555.93,9492,13997.775837680823,68.0,32.0
South Carolina,2015,13021.19,9828,14516.975443393092,68.1,31.9
South Carolina,2016,13256.67,10092,14705.224319262139,68.6,31.4
South Carolina,2017,13668.46,10176,15259.636328622071,68.7,31.3
South Carolina,2018,14080.52,10704,15576.3203479614,69.3,30.7
South Carolina,2019,14639.54,11064,16150.117434825142,70.3,29.7
South Carolina,2021,15884.16,11712,17522.804474109125,71.8,28.2
South Carolina,2022,17612.51,13008,19403.150656842015,72.0,28.0
South Carolina,2023,19202.04,14040,21169.883571428574,72.4,27.6
South Dakota,2008,9423.17,6828,10578.241239757544,69.2,30.8
South Dakota,2009,8993.24,6744,10056.573003986514,67.9,32.1
South Dakota,2010,9847.65,7092,11144.431719233955,68.0,32.0
South Dakota,2011,9521.13,7344,10522.288713009611,68.5,31.5
South Dakota,2012,11049.38,7812,12636.71385298233,67.1,32.9
South Dakota,2013,11316.06,7644,13108.37750121921,67.2,32.8
South Dakota,2014,10714.73,7764,12090.583610057398,68.2,31.8
South Dakota,2015,10861.12,8100,12148.569605685494,68.2,31.8
South Dakota,2016,11083.05,8472,12357.493521468396,67.2,32.8
South Dakota,2017,11900.6,8664,13444.799201225387,67.7,32.3
South Dakota,2018,12656.61,8808,14476.055005008844,67.9,32.1
South Dakota,2019,12902.04,9228,14646.935932818407,67.8,32.2
South Dakota,2021,13423.88,9960,14951.186836567955,69.4,30.6
South Dakota,2022,14432.0,10392,16196.604726943175,69.6,30.4
South Dakota,2023,15305.69,11052,17181.235,69.4,30.6
Tennessee,2008,11575.95,7920,13157.751259770617,69.8,30.2
Tennessee,2009,11698.13,8184,13262.21779846619,69.2,30.8
Tennessee,2010,11631.59,8364,13162.219196326972,68.1,31.9
Tennessee,2011,11724.47,8580,13252.322482117292,67.3,32.7
Tennessee,2012,12116.11,8760,13791.649253529544,66.7,33.3
Tennessee,2013,12164.27,8976,13777.612420677966,66.4,33.6
Tennessee,2014,12214.87,9240,13740.567057516015,66.1,33.9
Tennessee,2015,12592.65,9420,14241.663932309377,65.8,34.2
Tennessee,2016,13173.58,9672,15050.763978814191,65.1,34.9
Tennessee,2017,13684.79,9996,15636.349256158717,65.4,34.6
Tennessee,2018,13879.31,10332,15690.471448397102,66.2,33.8
Tennessee,2019,14728.29,10848,16683.01614694944,66.5,33.5
Tennessee,2021,15669.23,11772,17545.671310362144,67.5,32.5
Tennessee,2022,16900.9,13152,18730.722477459825,67.2,32.8
Tennessee,2023,18267.82,14568,20065.507142857146,67.3,32.7
Texas,2008,13702.14,9216,16128.388085917453,64.9,35.1
Texas,2009,13719.51,9456,16149.109103810568,63.7,36.3
Texas,2010,13834.1,9612,16250.516262058823,63.6,36.4
Texas,2011,14030.6,9756,16551.862821848918,62.9,37.1
Texas,2012,14434.82,9972,17135.438006445947,62.3,37.7
Texas,2013,14761.52,10284,17529.173847217007,61.8,38.2
Texas,2014,15443.97,10752,18418.610467439707,61.2,38.8
Texas,2015,15843.22,11184,18809.561411644496,61.1,38.9
Texas,2016,16489.04,11472,19683.188368501724,61.1,38.9
Texas,2017,17008.46,11844,20173.78034034123,62.0,38.0
Texas,2018,17518.13,12552,20600.838835448758,61.7,38.3
Texas,2019,18163.31,13092,21284.74868669858,61.9,38.1
Texas,2021,19204.93,14004,22312.19303062233,62.6,37.4
Texas,2022,20901.89,15480,24155.026641168133,62.5,37.5
Texas,2023,22400.07,16956,25652.59142857143,62.6,37.4
Utah,2008,15671.24,9408,18143.34792232218,71.7,28.3
Utah,2009,16333.74,9516,19051.297427484587,71.5,28.5
Utah,2010,14785.33,9552,17038.879748825224,69.9,30.1
Utah,2011,15656.62,9864,18210.708102975077,69.4,30.6
Utah,2012,15894.27,10212,18376.17579261181,69.6,30.4
Utah,2013,16397.16,10572,18989.867521381762,69.2,30.8
Utah,2014,16296.56,10632,18817.774892219277,69.2,30.8
Utah,2015,16378.02,11100,18760.40115847153,68.9,31.1
Utah,2016,17830.46,11448,20578.84094001841,69.9,30.1
Utah,2017,17736.73,11832,20279.398468881653,69.9,30.1
Utah,2018,18530.51,12516,21047.22164885764,70.5,29.5
Utah,2019,19170.38,13176,21666.624610988074,70.6,29.4
Utah,2021,20538.15,14496,23164.788496683694,69.7,30.3
Utah,2022,23516.92,16464,26369.793436953656,71.2,28.8
Utah,2023,25133.17,18612,27914.668571428574,70.1,29.9
Vermont,2008,15983.7,9564,18455.546803371108,72.2,27.8
Vermont,2009,16438.6,9948,19051.22421818541,71.3,28.7
Vermont,2010,15749.81,9876,18219.483312276676,70.4,29.6
Vermont,2011,16518.2,10188,19066.26023622186,71.3,28.7
Vermont,2012,17451.55,10320,20364.436396421635,71.0,29.0
Vermont,2013,16656.01,10380,19219.45765165934,71.0,29.0
Vermont,2014,16693.14,11004,19131.34583256749,70.0,30.0
Vermont,2015,17454.61,11076,20098.081497435523,70.7,29.3
Vermont,2016,15686.76,11100,17671.29269628793,69.8,30.2
Vermont,2017,17271.48,11400,19848.169278532874,69.5,30.5
Vermont,2018,18903.14,11628,21704.367508674663,72.2,27.8
Vermont,2019,18603.8,11760,21412.752768085713,70.9,29.1
Vermont,2021,19492.69,13380,21788.104785607946,72.7,27.3
Vermont,2022,20079.19,13692,22358.47245032149,73.7,26.3
Vermont,2023,19623.37,14424,21526.96357142857,73.2,26.8
Virginia,2008,17914.72,11208,20970.327168443862,68.7,31.3
Virginia,2009,18132.64,11868,21067.17055970272,68.1,31.9
Virginia,2010,18078.33,12228,20869.552340662485,67.7,32.3
Virginia,2011,18309.05,12744,21013.016564810834,67.3,32.7
Virginia,2012,18336.81,12816,21155.59051161765,66.2,33.8
Virginia,2013,19049.97,13032,22205.73050455411,65.6,34.4
Virginia,2014,19416.83,13392,22618.39335471075,65.3,34.7
Virginia,2015,19736.82,13728,22972.33190414294,65.0,35.0
Virginia,2016,19722.76,13908,22812.69291126747,65.3,34.7
Virginia,2017,20261.42,14148,23327.31150302852,66.6,33.4
Virginia,2018,21093.02,14580,24463.19169706057,65.9,34.1
Virginia,2019,20766.01,15048,23698.542361712203,66.1,33.9
Virginia,2021,22604.44,15972,25783.301297326918,67.6,32.4
Virginia,2022,23691.78,17292,26787.216389363675,67.4,32.6
Virginia,2023,24766.04,18804,27597.57214285714,67.8,32.2
Washington,2008,18196.71,10488,22293.0617338236,65.3,34.7
Washington,2009,18089.33,10932,22063.147421115427,64.3,35.7
Washington,2010,17536.85,10896,21420.327757100542,63.1,36.9
Washington,2011,18031.74,11160,22102.261167580673,62.8,37.2
Washington,2012,17936.34,11448,21862.67521025142,62.3,37.7
Washington,2013,18452.59,11868,22505.4627854027,61.9,38.1
Washington,2014,19368.15,12384,23703.53628096236,61.7,38.3
Washington,2015,20152.34,12960,24486.182000116743,62.4,37.6
Washington,2016,21265.8,13620,25853.275265564378,62.5,37.5
Washington,2017,22395.14,14592,27017.386072241752,62.8,37.2
Washington,2018,23574.88,15792,28185.116583096416,62.8,37.2
Washington,2019,24540.55,16308,29354.836876411908,63.1,36.9
Washington,2021,25343.95,17808,29582.916785078458,64.0,36.0
Washington,2022,27626.44,19560,32124.55114218954,64.2,35.8
Washington,2023,28880.47,20772,33501.15071428572,63.7,36.3
West Virginia,2008,9163.48,6336,10172.476241377955,73.7,26.3
West Virginia,2009,9247.9,6624,10189.084069643628,73.6,26.4
West Virginia,2010,9560.59,6852,10482.814049546338,74.6,25.4
West Virginia,2011,9610.59,7188,10538.743339663395,72.3,27.7
West Virginia,2012,9720.43,7284,10667.936310826744,72.0,28.0
West Virginia,2013,10244.69,7440,11319.234180321424,72.3,27.7
West Virginia,2014,10293.6,7872,11226.02350625148,72.2,27.8
West Virginia,2015,10939.03,8100,12026.732665305291,72.3,27.7
West Virginia,2016,10746.04,8184,11722.735005212979,72.4,27.6
West Virginia,2017,10969.44,8280,11989.571399614491,72.5,27.5
West Virginia,2018,11228.93,8820,12142.668217774914,72.5,27.5
West Virginia,2019,11659.91,8724,12723.882679000699,73.4,26.6
West Virginia,2021,12491.32,9204,13575.440020419104,75.2,24.8
West Virginia,2022,12115.56,9540,12997.133745265568,74.5,25.5
West Virginia,2023,13429.48,10200,14593.844285714287,73.5,26.5
Wisconsin,2008,13518.77,8448,15681.61855216287,70.1,29.9
Wisconsin,2009,13347.13,8496,15526.621350528287,69.0,31.0
Wisconsin,2010,13609.96,8580,15901.627595719858,68.7,31.3
Wisconsin,2011,13812.19,8868,16149.576819848873,67.9,32.1
Wisconsin,2012,13723.55,8916,16059.455749803865,67.3,32.7
Wisconsin,2013,13668.77,9096,15900.723306171692,67.2,32.8
Wisconsin,2014,13671.13,9384,15821.132038199738,66.6,33.4
Wisconsin,2015,14058.33,9504,16321.858542129554,66.8,33.2
Wisconsin,2016,14064.45,9624,16281.345360565503,66.7,33.3
Wisconsin,2017,14945.46,9828,17511.867122432093,66.6,33.4
Wisconsin,2018,15067.19,10164,17471.286844603826,67.1,32.9
Wisconsin,2019,15381.08,10404,17810.365468490116,67.2,32.8
Wisconsin,2021,15657.3,11052,17814.54840757004,68.1,31.9
Wisconsin,2022,17079.14,11904,19503.32634919289,68.1,31.9
Wisconsin,2023,18342.92,12852,20938.78142857143,67.9,32.1
Wyoming,2008,12379.63,7632,14404.655331313337,70.1,29.9
Wyoming,2009,14242.92,8400,16641.076546526936,70.9,29.1
Wyoming,2010,13557.18,8316,15835.632325147002,69.7,30.3
Wyoming,2011,14904.67,9108,17318.573996416908,70.6,29.4
Wyoming,2012,13940.49,8904,16203.25891971978,69.0,31.0
Wyoming,2013,15038.82,9360,17578.264750271992,69.1,30.9
Wyoming,2014,15471.55,9504,18424.111757106486,66.9,33.1
Wyoming,2015,14504.37,9780,16727.59727657187,68.0,32.0
Wyoming,2016,16227.75,10080,19015.685569389487,68.8,31.2
Wyoming,2017,15394.22,9984,17625.54734058218,70.8,29.2
Wyoming,2018,14354.32,9816,16271.652026688063,70.3,29.7
Wyoming,2019,15697.42,9864,17977.246382036497,71.9,28.1
Wyoming,2021,16280.91,10668,18529.212174515196,71.4,28.6
Wyoming,2022,17802.91,10740,20455.140210482514,72.7,27.3
Wyoming,2023,18058.37,12000,20508.94642857143,71.2,28.8
